INFO: Waiting for solution ...
INFO: Algorithm took 0.004 seconds.
INFO: Step 001 - from (1, 1) to (1, 0) ; cost 1
INFO: Step 002 - from (1, 0) to (1, 2) ; cost 2
INFO: Step 003 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 004 - from (1, 2) to (3, 2) ; cost 2
INFO: Step 005 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 006 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 007 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 008 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 009 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 010 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 011 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 012 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 013 - from (3, 1) to (0, 1) ; cost 3
INFO: Step 014 - from (0, 1) to (0, 3) ; cost 2
INFO: Step 015 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 016 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 017 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 018 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 019 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 020 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 021 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 022 - from (2, 0) to (1, 0) ; cost 1
INFO: Step 023 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 024 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 025 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 026 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 027 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 028 - from (0, 0) to (2, 0) ; cost 2
INFO: Step 029 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 030 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 031 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 032 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 033 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 034 - from (2, 0) to (3, 0) ; cost 1
INFO: Step 035 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 036 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 037 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 038 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 039 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 040 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 041 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 042 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 043 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 044 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 045 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 046 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 047 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 048 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 049 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 050 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 051 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 052 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 053 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 054 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 055 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 056 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 057 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 058 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 059 - from (0, 2) to (0, 0) ; cost 2
INFO: Step 060 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 061 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 062 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 063 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 064 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 065 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 066 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 067 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 068 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 069 - from (3, 2) to (3, 0) ; cost 2
INFO: Step 070 - from (3, 0) to (3, 2) ; cost 2
INFO: Step 071 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 072 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 073 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 074 - from (0, 0) to (3, 0) ; cost 3
INFO: Step 075 - from (3, 2) to (0, 2) ; cost 3
INFO: Step 076 - from (0, 2) to (3, 2) ; cost 3
INFO: Step 077 - from (3, 2) to (3, 1) ; cost 1
INFO: Step 078 - from (3, 0) to (0, 0) ; cost 3
INFO: Step 079 - from (3, 1) to (3, 0) ; cost 1
INFO: Step 080 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 081 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 082 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 083 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 084 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 085 - from (0, 3) to (2, 3) ; cost 2
INFO: Step 086 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 087 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 088 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 089 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 090 - from (2, 3) to (2, 0) ; cost 3
INFO: Step 091 - from (2, 0) to (2, 3) ; cost 3
INFO: Step 092 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 093 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 094 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 095 - from (1, 3) to (1, 0) ; cost 3
INFO: Step 096 - from (1, 0) to (3, 0) ; cost 2
INFO: Step 097 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 098 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 099 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 100 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 101 - from (3, 0) to (1, 0) ; cost 2
INFO: Step 102 - from (0, 0) to (0, 3) ; cost 3
INFO: Step 103 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 104 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 105 - from (0, 3) to (1, 3) ; cost 1
INFO: Step 106 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 107 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 108 - from (1, 3) to (2, 3) ; cost 1
INFO: Step 109 - from (2, 3) to (1, 3) ; cost 1
INFO: Step 110 - from (0, 3) to (0, 0) ; cost 3
INFO: Step 111 - from (0, 0) to (3, 0) ; cost 3
