INFO: Waiting for solution ...
INFO: Algorithm took 0.105 seconds.
INFO: Step 001 - from (0, 0) to (0, 9) ; cost 9
INFO: Step 002 - from (0, 9) to (3, 9) ; cost 3
INFO: Step 003 - from (3, 9) to (3, 7) ; cost 2
INFO: Step 004 - from (3, 7) to (0, 7) ; cost 3
INFO: Step 005 - from (0, 7) to (9, 7) ; cost 9
INFO: Step 006 - from (7, 3) to (0, 3) ; cost 7
INFO: Step 007 - from (0, 3) to (0, 9) ; cost 6
INFO: Step 008 - from (0, 9) to (3, 9) ; cost 3
INFO: Step 009 - from (3, 9) to (3, 7) ; cost 2
INFO: Step 010 - from (3, 7) to (0, 7) ; cost 3
INFO: Step 011 - from (0, 7) to (8, 7) ; cost 8
INFO: Step 012 - from (8, 7) to (8, 9) ; cost 2
INFO: Step 013 - from (8, 9) to (9, 9) ; cost 1
INFO: Step 014 - from (9, 7) to (0, 7) ; cost 9
INFO: Step 015 - from (0, 7) to (0, 9) ; cost 2
INFO: Step 016 - from (0, 9) to (3, 9) ; cost 3
INFO: Step 017 - from (3, 9) to (3, 7) ; cost 2
INFO: Step 018 - from (9, 9) to (8, 9) ; cost 1
INFO: Step 019 - from (3, 7) to (0, 7) ; cost 3
INFO: Step 020 - from (0, 7) to (0, 9) ; cost 2
INFO: Step 021 - from (0, 9) to (3, 9) ; cost 3
INFO: Step 022 - from (8, 9) to (8, 0) ; cost 9
INFO: Step 023 - from (3, 9) to (0, 9) ; cost 3
INFO: Step 024 - from (0, 9) to (0, 0) ; cost 9
INFO: Step 025 - from (0, 0) to (1, 0) ; cost 1
INFO: Step 026 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 027 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 028 - from (0, 3) to (8, 3) ; cost 8
INFO: Step 029 - from (8, 0) to (7, 0) ; cost 1
INFO: Step 030 - from (7, 0) to (7, 8) ; cost 8
INFO: Step 031 - from (7, 8) to (0, 8) ; cost 7
INFO: Step 032 - from (0, 8) to (0, 9) ; cost 1
INFO: Step 033 - from (0, 9) to (3, 9) ; cost 3
INFO: Step 034 - from (3, 9) to (3, 7) ; cost 2
INFO: Step 035 - from (3, 7) to (0, 7) ; cost 3
INFO: Step 036 - from (0, 7) to (9, 7) ; cost 9
