INFO: Waiting for solution ...
INFO: Algorithm took 0.018 seconds.
INFO: Step 001 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 002 - from (0, 0) to (0, 7) ; cost 7
INFO: Step 003 - from (6, 0) to (0, 0) ; cost 6
INFO: Step 004 - from (0, 0) to (0, 6) ; cost 6
INFO: Step 005 - from (0, 6) to (7, 6) ; cost 7
INFO: Step 006 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 007 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 008 - from (7, 0) to (7, 5) ; cost 5
INFO: Step 009 - from (7, 5) to (5, 5) ; cost 2
INFO: Step 010 - from (5, 5) to (5, 7) ; cost 2
INFO: Step 011 - from (5, 7) to (2, 7) ; cost 3
INFO: Step 012 - from (2, 7) to (7, 7) ; cost 5
INFO: Step 013 - from (7, 6) to (0, 6) ; cost 7
INFO: Step 014 - from (0, 6) to (0, 7) ; cost 1
INFO: Step 015 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 016 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 017 - from (7, 7) to (2, 7) ; cost 5
INFO: Step 018 - from (2, 7) to (2, 0) ; cost 7
INFO: Step 019 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 020 - from (0, 0) to (6, 0) ; cost 6
INFO: Step 021 - from (6, 0) to (6, 7) ; cost 7
INFO: Step 022 - from (7, 0) to (7, 7) ; cost 7
INFO: Step 023 - from (6, 7) to (2, 7) ; cost 4
INFO: Step 024 - from (2, 7) to (2, 0) ; cost 7
INFO: Step 025 - from (7, 7) to (2, 7) ; cost 5
INFO: Step 026 - from (2, 0) to (2, 6) ; cost 6
INFO: Step 027 - from (2, 6) to (0, 6) ; cost 2
INFO: Step 028 - from (2, 7) to (2, 0) ; cost 7
INFO: Step 029 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 030 - from (0, 0) to (0, 5) ; cost 5
INFO: Step 031 - from (0, 5) to (3, 5) ; cost 3
INFO: Step 032 - from (0, 6) to (0, 7) ; cost 1
INFO: Step 033 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 034 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 035 - from (3, 5) to (0, 5) ; cost 3
INFO: Step 036 - from (7, 0) to (0, 0) ; cost 7
INFO: Step 037 - from (0, 0) to (0, 4) ; cost 4
INFO: Step 038 - from (0, 5) to (3, 5) ; cost 3
INFO: Step 039 - from (3, 5) to (3, 7) ; cost 2
INFO: Step 040 - from (0, 4) to (0, 7) ; cost 3
INFO: Step 041 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 042 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 043 - from (3, 7) to (3, 3) ; cost 4
INFO: Step 044 - from (3, 3) to (0, 3) ; cost 3
INFO: Step 045 - from (7, 0) to (0, 0) ; cost 7
INFO: Step 046 - from (0, 0) to (0, 2) ; cost 2
INFO: Step 047 - from (0, 2) to (2, 2) ; cost 2
INFO: Step 048 - from (0, 3) to (0, 7) ; cost 4
INFO: Step 049 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 050 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 051 - from (2, 2) to (0, 2) ; cost 2
INFO: Step 052 - from (7, 0) to (7, 7) ; cost 7
INFO: Step 053 - from (0, 2) to (2, 2) ; cost 2
INFO: Step 054 - from (7, 7) to (2, 7) ; cost 5
INFO: Step 055 - from (2, 7) to (2, 3) ; cost 4
INFO: Step 056 - from (2, 2) to (0, 2) ; cost 2
INFO: Step 057 - from (0, 2) to (0, 7) ; cost 5
INFO: Step 058 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 059 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 060 - from (7, 0) to (7, 7) ; cost 7
INFO: Step 061 - from (7, 7) to (2, 7) ; cost 5
INFO: Step 062 - from (2, 7) to (2, 4) ; cost 3
INFO: Step 063 - from (2, 3) to (0, 3) ; cost 2
INFO: Step 064 - from (0, 3) to (0, 7) ; cost 4
INFO: Step 065 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 066 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 067 - from (2, 4) to (7, 4) ; cost 5
INFO: Step 068 - from (7, 0) to (7, 3) ; cost 3
INFO: Step 069 - from (7, 3) to (5, 3) ; cost 2
INFO: Step 070 - from (5, 3) to (5, 7) ; cost 4
INFO: Step 071 - from (5, 7) to (2, 7) ; cost 3
INFO: Step 072 - from (2, 7) to (7, 7) ; cost 5
INFO: Step 073 - from (7, 7) to (7, 5) ; cost 2
INFO: Step 074 - from (7, 4) to (2, 4) ; cost 5
INFO: Step 075 - from (2, 4) to (2, 7) ; cost 3
INFO: Step 076 - from (2, 7) to (7, 7) ; cost 5
INFO: Step 077 - from (7, 5) to (5, 5) ; cost 2
INFO: Step 078 - from (7, 7) to (2, 7) ; cost 5
INFO: Step 079 - from (2, 7) to (2, 0) ; cost 7
INFO: Step 080 - from (2, 0) to (0, 0) ; cost 2
INFO: Step 081 - from (0, 0) to (0, 7) ; cost 7
INFO: Step 082 - from (5, 5) to (7, 5) ; cost 2
INFO: Step 083 - from (0, 7) to (0, 0) ; cost 7
INFO: Step 084 - from (0, 0) to (7, 0) ; cost 7
INFO: Step 085 - from (7, 5) to (7, 1) ; cost 4
INFO: Step 086 - from (7, 0) to (0, 0) ; cost 7
INFO: Step 087 - from (0, 0) to (0, 7) ; cost 7
INFO: Path length is 87 steps.
INFO: Path cost is 413 units.
