INFO: Waiting for solution ...
INFO: Algorithm took 0.002 seconds.
INFO: Step 001 - from (0, 5) to (0, 1) ; cost 4
INFO: Step 002 - from (0, 1) to (5, 1) ; cost 5
INFO: Step 003 - from (1, 5) to (0, 5) ; cost 1
INFO: Step 004 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 005 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 006 - from (4, 0) to (1, 0) ; cost 3
INFO: Step 007 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 008 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 009 - from (0, 3) to (5, 3) ; cost 5
INFO: Step 010 - from (5, 1) to (0, 1) ; cost 5
INFO: Step 011 - from (0, 1) to (0, 5) ; cost 4
INFO: Step 012 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 013 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 014 - from (4, 0) to (1, 0) ; cost 3
INFO: Step 015 - from (1, 0) to (1, 3) ; cost 3
INFO: Step 016 - from (1, 3) to (0, 3) ; cost 1
INFO: Step 017 - from (0, 3) to (4, 3) ; cost 4
INFO: Step 018 - from (5, 3) to (5, 4) ; cost 1
INFO: Step 019 - from (4, 3) to (0, 3) ; cost 4
INFO: Step 020 - from (0, 3) to (0, 5) ; cost 2
INFO: Step 021 - from (0, 5) to (4, 5) ; cost 4
INFO: Step 022 - from (4, 5) to (4, 0) ; cost 5
INFO: Step 023 - from (4, 0) to (1, 0) ; cost 3
INFO: Step 024 - from (5, 4) to (2, 4) ; cost 3
INFO: Path length is 24 steps.
INFO: Path cost is 82 units.
